Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,
580068058368221185,RT @GeorgesGyroSpot : @pepsispire @PepsiCoDeals @pepsi Enjoying a strawberry Diet Mountain Dew #pepsi #mychoice http://t.co/KXL9p04kOP,Pepsi Spire,pepsispire,2015-03-23T18:06:16.000Z,Mon Mar 23 18:06:16 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,2,3,photo,https://pbs.twimg.com/media/CAzOaa8WYAEjyZB.jpg,
579998291997376512,RT @GeorgesGyroSpot : @pepsispire check out our spire 2.0 http://t.co/QXZPHiA983,Pepsi Spire,pepsispire,2015-03-23T13:29:03.000Z,Mon Mar 23 13:29:03 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/CAmB72SUkAE7l5V.jpg,
578543120050176000,@rickmastfan67 @drpepper @Arbys Yes @drpepper will be offered on @pepsispire machines in select locations.,Pepsi Spire,pepsispire,2015-03-19T13:06:43.000Z,Thu Mar 19 13:06:43 +0000 2015,1,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,5,,,
578239697773813760,@thevoiceofptbo Love it!,Pepsi Spire,pepsispire,2015-03-18T17:01:01.000Z,Wed Mar 18 17:01:01 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,0,,,
577815608391286784,RT @iDreamofFalafel : One of the first @pepsispire machines in Chicago. Come check it out! #Pepsi http://t.co/G6wExGdYZC,Pepsi Spire,pepsispire,2015-03-17T12:55:50.000Z,Tue Mar 17 12:55:50 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,1,1,photo,https://pbs.twimg.com/media/CAQG4XmUwAAp2sz.jpg,
568777846463848448,@MrUNC07 You bet!,Pepsi Spire,pepsispire,2015-02-20T14:23:00.000Z,Fri Feb 20 14:23:00 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,1,,,
563390928682237952,@EricSumpter That's great! He can reach out to his local Pepsi sales representative for more information on installing Pepsi Spire.,Pepsi Spire,pepsispire,2015-02-05T17:37:19.000Z,Thu Feb 05 17:37:19 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,1,,,
559712061929041920,@johngipson @KCMO @Royals Stay tuned! We are continuing to roll out to new locations with lots of different flavor options!,Pepsi Spire,pepsispire,2015-01-26T13:58:49.000Z,Mon Jan 26 13:58:49 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,2,,,
558362883822997505,@Spidey55 @pepsi @MountainDew Coming soon!,Pepsi Spire,pepsispire,2015-01-22T20:37:40.000Z,Thu Jan 22 20:37:40 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,3,,,
558342749406380032,RT @LloydBridgz : Sipping my Cherry Mtn Dew thanks to @SUBWAYCanada on Bristol road W Mississauga and @pepsispire http://t.co/RrS8UIxopj,Pepsi Spire,pepsispire,2015-01-22T19:17:39.000Z,Thu Jan 22 19:17:39 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,0,2,photo,https://pbs.twimg.com/media/B7-bnHmCYAAsXKF.jpg,
